[P001 | Normal] CARELOOP 暖桌
[P002 | Normal] Maker in China Hong Kong 2026 · PPT优化指导书 v3.0
[P003 | Normal] 20页左右主路演：产品硬件 × 软件闭环 × 深圳南山试点 × 商业模式 × 2,000万元级落地资金
[P005 | Normal] 这版严格沿用第一版指导书的思路：先确定比赛任务 → 总体改造方向 → 逐页改稿 → UI/Demo → 无线下试点如何表达 → 路演节奏 → 视觉规范 → 最终检查。
[P006 | List Bullet] 第一版要求主线清楚、诚实区分 VALIDATED / EXTERNAL SOURCE / DEMO ASSUMPTION / TO VALIDATE；本版保留这套证据规则，但允许主PPT扩展到约20页，因为本次用户明确要求增加产品硬件与软件结构、商业模型和落地资金逻辑。fileciteturn2file0L31-L47
[P007 | List Bullet] 不要把2,000万元写成“已经融资”或“确定成本”；写成“Phase I commercialization / pilot funding target（规划资金目标）”，并用底层成本桶说明为什么规模级资金合理。
[P008 | List Bullet] AICAN官网目前能支持的是产品能力与系统架构信息，不公开具体采购价格，因此本指南不会虚构设备单价；成本必须由正式报价替换。citeturn0search0turn0search1
[P010 | Title] 第一部分｜先确定新版PPT的比赛任务
[P011 | Normal] 延续第一版指导书的创建逻辑，但把“产品证明”进一步升级为“产品+商业证明”。
[P012 | Heading 1] 一、新版PPT唯一任务
[P013 | Normal] 让评委看完后相信：Careloop不是一个“老人食堂概念”，而是一套可以嵌入真实社区、连接硬件与软件、形成持续运营收入，并值得投入2,000万元级资金做商业化验证的社区养老餐饮基础设施。
[P014 | Heading 1] 二、评委必须记住的五件事
[P016 | Heading 1] 三、主PPT建议
[P017 | List Bullet] 主PPT：20–21页；建议8–10分钟。每页平均20–30秒，其中产品硬件/软件页允许快速视觉翻页。
[P018 | List Bullet] 附录：技术架构、AICAN详细参数、完整BOM/报价、食品安全、数据隐私、财务模型、风险矩阵、试点SOP。
[P019 | List Bullet] 第一版“14页、7分钟”的限制来自当时的香港站版本；本次明确需求已经改变，因此不要机械遵守14页，但仍保持“每页一个结论”的原则。fileciteturn2file0L45-L47
[P020 | Heading 1] 四、叙事弧线
